iter	Passed	Remaining
1034	6485	6047
1035	6491	6040
1036	6497	6033
1037	6504	6027
1038	6509	6021
1039	6515	6014
1040	6521	6007
1041	6527	6001
1042	6533	5994
1043	6539	5988
1044	6545	5981
1045	6551	5975
1046	6557	5968
1047	6564	5963
1048	6571	5957
1049	6577	5950
1050	6583	5944
1051	6589	5938
1052	6595	5931
1053	6602	5925
1054	6608	5919
1055	6614	5912
1056	6620	5906
1057	6626	5900
1058	6632	5893
1059	6638	5887
1060	6645	5880
1061	6651	5874
1062	6657	5868
1063	6664	5862
1064	6670	5856
1065	6675	5849
1066	6681	5842
1067	6686	5835
1068	6692	5828
1069	6698	5821
1070	6703	5814
1071	6709	5807
1072	6714	5801
1073	6720	5794
1074	6725	5787
1075	6731	5780
1076	6737	5773
1077	6742	5766
1078	6748	5760
1079	6753	5753
1080	6759	5746
1081	6765	5740
1082	6771	5733
1083	6776	5726
1084	6782	5719
1085	6788	5713
1086	6793	5706
1087	6800	5700
1088	6807	5694
1089	6814	5688
1090	6820	5682
1091	6826	5676
1092	6832	5670
1093	6838	5663
1094	6844	5656
1095	6850	5650
1096	6856	5644
1097	6863	5638
1098	6869	5631
1099	6874	5624
1100	6881	5618
1101	6887	5612
1102	6893	5606
1103	6899	5599
1104	6906	5593
1105	6912	5587
1106	6918	5581
1107	6924	5574
1108	6930	5568
1109	6936	5561
1110	6943	5556
1111	6949	5549
1112	6956	5543
1113	6962	5537
1114	6969	5531
1115	6975	5525
1116	6981	5518
1117	6986	5512
1118	6992	5505
1119	6997	5497
1120	7002	5490
1121	7008	5484
1122	7014	5477
1123	7020	5471
1124	7026	5465
1125	7032	5458
1126	7038	5451
1127	7044	5445
1128	7049	5438
1129	7055	5432
1130	7062	5426
1131	7068	5420
1132	7075	5414
1133	7082	5408
1134	7088	5402
1135	7095	5396
1136	7102	5390
1137	7109	5385
1138	7116	5379
1139	7122	5373
1140	7128	5366
1141	7134	5360
1142	7140	5353
1143	7145	5346
1144	7151	5340
1145	7157	5333
1146	7163	5327
1147	7168	5320
1148	7174	5313
1149	7180	5307
1150	7185	5300
1151	7191	5293
1152	7198	5287
1153	7205	5282
1154	7211	5275
1155	7217	5269
1156	7223	5262
1157	7229	5256
1158	7235	5250
1159	7241	5243
1160	7247	5237
1161	7253	5231
1162	7259	5224
1163	7266	5218
1164	7272	5212
1165	7278	5206
1166	7284	5199
1167	7290	5193
1168	7296	5186
1169	7302	5180
1170	7307	5173
1171	7313	5166
1172	7318	5160
1173	7324	5153
1174	7330	5146
1175	7335	5140
1176	7341	5133
1177	7347	5127
1178	7353	5120
1179	7359	5114
1180	7365	5108
1181	7371	5101
1182	7377	5095
1183	7383	5088
1184	7388	5081
1185	7394	5075
1186	7400	5068
1187	7406	5062
1188	7412	5055
1189	7417	5049
1190	7423	5042
1191	7428	5035
1192	7434	5029
1193	7440	5022
1194	7446	5016
1195	7452	5009
1196	7457	5002
1197	7463	4996
1198	7468	4989
1199	7473	4982
1200	7479	4975
1201	7485	4969
1202	7499	4968
1203	7521	4972
1204	7531	4968
1205	7537	4962
1206	7545	4957
1207	7553	4952
1208	7560	4946
1209	7568	4941
1210	7576	4936
1211	7583	4930
1212	7590	4924
1213	7597	4918
1214	7603	4912
1215	7610	4906
1216	7617	4901
1217	7624	4895
1218	7630	4888
1219	7636	4882
1220	7643	4876
1221	7652	4871
1222	7660	4866
1223	7668	4861
1224	7676	4856
1225	7683	4850
1226	7690	4845
1227	7698	4839
1228	7705	4834
1229	7711	4827
1230	7718	4821
1231	7724	4815
1232	7730	4808
1233	7737	4802
1234	7743	4796
1235	7750	4790
1236	7757	4784
1237	7763	4778
1238	7770	4772
1239	7776	4766
1240	7784	4760
1241	7790	4754
1242	7797	4748
1243	7803	4742
1244	7810	4736
1245	7816	4730
1246	7823	4724
1247	7829	4717
1248	7835	4711
1249	7841	4704
1250	7847	4698
1251	7853	4692
1252	7859	4685
1253	7866	4679
1254	7872	4673
1255	7878	4667
1256	7885	4660
1257	7891	4654
1258	7897	4648
1259	7904	4642
1260	7910	4635
1261	7917	4629
1262	7923	4623
1263	7929	4617
1264	7935	4610
1265	7942	4604
1266	7947	4598
1267	7953	4591
1268	7959	4584
1269	7964	4577
1270	7970	4571
1271	7975	4564
1272	7981	4557
1273	7986	4551
1274	7992	4544
1275	7998	4538
1276	8003	4531
1277	8009	4525
1278	8015	4518
1279	8022	4512
1280	8028	4506
1281	8034	4499
1282	8041	4494
1283	8048	4488
1284	8055	4482
1285	8061	4475
1286	8067	4469
1287	8074	4463
